article,dutch,english,example
de,aanmaning,The reminder,The bank sent a final reminder regarding the unpaid bill.
de,aanmelding,The registration,The deadline for registration for the marathon is next Friday.
de,aanmerking,The remark,The teacher made a helpful remark on the student's essay.
de,aanmoediging,The encouragement,The coach gave the team a few words of encouragement before the game.
de,aanname,The assumption,The scientist based his theory on the assumption that gravity is constant.
de,aannemer,The contractor,The contractor promised that the renovation would be finished by June.
de,aanneming,The adoption,The couple celebrated the legal adoption of their young son.
de,aanpak,The approach,The company is trying a new approach to improve customer service.
de,aanpassing,The adjustment,The tailor made a small adjustment to the waist of the trousers.
de,aanplant,The plantation,The new plantation of oak trees will take decades to mature.
het,aanraakscherm,The touchscreen,The tablet is equipped with a highly responsive touchscreen.
de,aanrader,The recommendation,This restaurant is a top recommendation for anyone visiting the city.
de,aanraking,The touch,The soft touch of the silk fabric felt luxurious against her skin.
het,aanrechtblad,The countertop,We chose a granite countertop for our new kitchen.
de,aanrijding,The collision,The police arrived at the scene of the car collision immediately.
de,aanrijtijd,The response time,The emergency services were praised for their quick response time.
de,aanschaf,The acquisition,The museum announced the acquisition of a rare painting by Rembrandt.
de,aanschafprijs,The cost price,The cost price of the materials has increased significantly.
het,aanslagbiljet,The tax assessment,The homeowner received the annual tax assessment in the mail.
de,aanslag,The attack,The city was on high alert following the recent terror attack.
de,aansluiting,The connection,The technician came to install the new internet connection.
de,aansporing,The incentive,The bonus served as a great incentive for the employees to work harder.
de,aansprakelijkheid,The liability,The insurance policy covers public liability in case of accidents.
de,aanspreektitel,The title,Please use the correct formal title when addressing the ambassador.
de,aanspreking,The address,The speaker began his address with a warm welcome to the audience.
de,aansteker,The lighter,He used a lighter to start the fire in the fireplace.
de,aanstelling,The appointment,She was delighted with her new appointment as the head of the department.
het,aantal,The number,The number of students in the class has doubled since last year.
de,aantasting,The erosion,Coastal erosion is a serious threat to the local ecosystem.
de,aantekening,The note,The student took a detailed note during the history lecture.
de,aantijging,The allegation,The politician denied the allegation of corruption made against him.
de,aantrekkelijkheid,The attractiveness,The natural beauty is the main attractiveness of this holiday resort.
de,aantrekkingskracht,The attraction,The gravity of the moon is the main attraction for the tides.
de,aanvaarding,The acceptance,The acceptance of the terms and conditions is mandatory for all users.
de,aanval,The attack,The army launched a surprise attack on the enemy base at dawn.
de,aanvaller,The attacker,The security guards managed to restrain the attacker until the police arrived.
de,aanvangstijd,The start time,The start time for the concert has been moved to eight o'clock.
het,aanvanguur,The starting hour,The starting hour of the wedding ceremony is clearly stated on the invitation.
de,aanvaring,The collision,The two ships narrowly avoided a collision in the thick fog.
de,aanvoerder,The captain,The captain led the team onto the field for the final match.
de,aanvoerster,The captain,The female captain was praised for her leadership on the field.
de,aanvraag,The application,The council is currently reviewing your application for a building permit.
de,aanvrager,The applicant,The applicant must provide a valid ID to complete the process.
de,aanvulling,The supplement,The athlete took a vitamin supplement to improve his performance.
het,aanwensel,The habit,Biting your nails is a difficult habit to break.
de,aanwerving,The recruitment,The recruitment of new staff will begin early next month.
de,aanwezige,The attendee,Every attendee was given a small gift at the end of the conference.
de,aanwezigheid,The presence,The presence of the principal made the students more disciplined.
de,aanwezigheidslijst,The attendance list,The teacher checked the attendance list at the beginning of the lesson.
de,aanwijzing,The instruction,Please follow the instruction carefully to assemble the furniture.
de,aanwinst,The asset,The new employee is a valuable asset to our marketing team.
de,aanwonende,The resident,The local resident complained about the noise from the construction site.
de,aanzet,The impetus,The new law gave a strong impetus to the renewable energy sector.
het,aanzicht,The view,The hotel room offered a stunning view of the ocean.
het,aanzoek,The proposal,She said yes to his romantic marriage proposal on the beach.
de,aardappel,The potato,The potato is a versatile vegetable that can be cooked in many ways.
de,aardappelsalade,The potato salad,We served a fresh potato salad at the summer barbecue.
de,aardbei,The strawberry,The strawberry is a sweet red fruit that is popular in desserts.
de,aardbeiplant,The strawberry plant,I planted a strawberry plant in my garden this spring.
de,aardbeving,The earthquake,The earthquake caused significant damage to the city's infrastructure.
de,aardbol,The globe,The teacher pointed to Europe on the large globe in the classroom.
de,aardeweg,The dirt road,The dirt road was dusty after weeks without any rain.
de,aardigheid,The joke,He told a clever joke that made everyone in the room laugh.
de,aardolie,The petroleum,The petroleum industry is a major part of the global economy.
de,aardrijkskundige,The geographer,The geographer studied the impact of climate change on the region.
de,aardvrucht,The tuber,The yam is a type of tuber that is a staple food in many cultures.
de,aartsbedrieger,The arch-deceiver,The villain in the story was a cunning arch-deceiver.
de,aartsbisschop,The archbishop,The archbishop led the religious ceremony at the cathedral.
de,aartsengel,The archangel,Michael is often described as a powerful archangel in ancient texts.
de,aartsleugenaar,The arch-liar,The politician was labeled an arch-liar by his opponents.
de,aartsrivaal,The arch-rival,The two teams have been arch-rival for over a century.
de,aartsvader,The patriarch,The patriarch was the respected head of the large family.
de,aartsvijand,The arch-enemy,The superhero finally defeated his arch-enemy in a dramatic battle.
de,aarzeling,The hesitation,She felt a slight hesitation before signing the legal document.
de,aars,The anus,The doctor explained the function of the anus in the digestive system.
de,abactis,The secretary,The secretary of the student association handles all the official mail.
het,abattoir,The slaughterhouse,The city's old slaughterhouse has been converted into a modern art gallery.
de,abbreviatie,The abbreviation,St. is a common abbreviation for the word Saint.
het,abces,The abscess,The dentist had to treat a painful abscess under the patient's tooth.
de,abdicatie,The abdication,The queen's abdication was a historic moment for the country.
de,abdij,The abbey,The monks lead a quiet and disciplined life inside the ancient abbey.
de,abdis,The abbess,The abbess is the spiritual leader of the community of nuns.
het,abdomen,The abdomen,The surgeon made a small incision in the patient's abdomen.
de,aberratie,The aberration,The strange result in the experiment was considered a statistical aberration.
de,abiturient,The graduate,The graduate celebrated his success with his friends and family.
de,ablatief,The ablative,The ablative is a grammatical case used in some ancient languages.
het,abonneenummer,The subscriber number,Please quote your subscriber number when calling customer service.
de,abonnee,The subscriber,The magazine has over a million loyal subscriber worldwide.
het,abonnement,The subscription,I decided to cancel my gym subscription because I rarely go.
de,abonnementhouder,The season ticket holder,The season ticket holder gets priority for all home matches.
de,abrikoos,The apricot,The apricot is a sweet orange fruit with a velvety skin.
de,abscis,The abscissa,The abscissa is the horizontal coordinate in a mathematical graph.
de,absence,The absence,His frequent absence from class was a cause for concern.
de,absentie,The absence,The absence of the manager meant that the meeting was postponed.
de,abstractie,The abstraction,The concept of time is often treated as a philosophical abstraction.
de,absurditeit,The absurdity,The absurdity of the situation made us burst into laughter.
de,abt,The abbot,The abbot is the head of the monastery and oversees the other monks.
het,abuijs,The error,The error in the calculation led to an incorrect result.
het,academiejajaar,The academic year,The academic year in the Netherlands begins in September.
de,academie,The academy,The military academy trains the next generation of officers.
de,acceleratie,The acceleration,The sports car has an incredible acceleration from zero to sixty.
het,accent,The accent,He speaks English with a very charming French accent.
het,accentteken,The accent mark,The word café is written with an accent mark on the final letter.
het,accentverschil,The difference in accent,The difference in accent between the two regions is quite noticeable.
de,acceptatie,The acceptance,The acceptance of the new policy was widespread among the staff.
het,accept,The acceptance,The acceptance of the offer was confirmed via email.
het,accessoire,The accessory,A stylish scarf is the perfect accessory for this outfit.
het,accident,The accident,The road was closed for hours following a serious car accident.
de,accijns,The excise duty,The government decided to increase the excise duty on tobacco products.
de,acclamatie,The acclamation,The new leader was elected by acclamation during the meeting.
de,accolade,The brace,The mathematical formula was enclosed within a large curly brace.
de,accommodatie,The accommodation,The hotel provides luxury accommodation for all its guests.
de,accordeonist,The accordionist,The accordionist played a traditional folk song at the festival.
het,accordeon,The accordion,The accordion is a musical instrument often used in folk music.
de,accountant,The accountant,The accountant is responsible for managing the company's finances.
de,accountmanager,The account manager,The account manager is the main point of contact for our clients.
het,account,The account,You need to create a new account to access the online portal.
de,accreditatie,The accreditation,The university received its official accreditation from the national board.
de,accumulatie,The accumulation,The accumulation of snow on the roof could be dangerous.
de,accumulator,The accumulator,The accumulator stores the electrical energy generated by the solar panels.
de,accuoplader,The battery charger,I need to find my battery charger because my phone is dead.
de,accusatief,The accusative,The accusative is the grammatical case for the direct object.
de,ace,The ace,The tennis player served a perfect ace to win the match.
het,acetaat,The acetate,The chemical reaction produced a significant amount of lead acetate.
de,achilleshiel,The Achilles' heel,His lack of patience was his main Achilles' heel in business.
de,achillespees,The Achilles tendon,The athlete had to undergo surgery to repair his torn Achilles tendon.
de,achtbaan,The roller coaster,The new roller coaster at the theme park is the fastest in the country.
de,achterbank,The back seat,The children were sitting quietly in the back seat of the car.
de,achterban,The constituency,The politician needs to listen to the concerns of his constituency.
het,achterdeel,The hind part,The hind part of the animal was covered in thick brown fur.
de,achterflap,The back flap,The summary of the book is printed on the back flap of the cover.
de,achtergrond,The background,The photographer chose a simple background for the portrait.
de,achterhoek,The remote corner,The village is located in a remote corner of the province.
het,achterhoofd,The back of the head,He felt a sharp pain in the back of the head after falling down.
de,achteringang,The back entrance,Please use the back entrance if you are arriving after hours.
de,achterkant,The back side,The instructions for the game are printed on the back side of the box.
de,achternaam,The last name,Please write your first name and last name on the form.
de,achterruit,The rear window,The rear window of the car was shattered in the accident.
het,achterstal,The backlog,The office is working hard to clear the backlog of paperwork.
de,achterstand,The arrears,The tenant was in arrears with his rent for three months.
de,achterstandswijk,The deprived neighborhood,The government is investing in new schools in the deprived neighborhood.
de,achtersteven,The stern,The name of the ship was painted clearly on the stern.
de,achtertuin,The backyard,We spent the whole afternoon playing football in the backyard.
de,achteruitkijkspiegel,The rearview mirror,The driver adjusted the rearview mirror before starting the car.
de,achtervanger,The catcher,The catcher caught the ball and threw it to second base.
het,achtervoegsel,The suffix,The suffix -ly is often used to turn an adjective into an adverb.
de,achtervolging,The pursuit,The police were in hot pursuit of the stolen car through the city.
het,achterwerk,The rear end,The back of the chair was designed to support the rear end comfortably.
de,achterzijde,The back side,The date of manufacture is stamped on the back side of the watch.
de,achtjarige,The eight-year-old,The eight-year-old was very excited about his birthday party.
de,achtste,The eighth,The athlete finished in eighth place in the final race.
het,achttal,The group of eight,The group of eight friends went on a hiking trip together.
de,achttienjarige,The eighteen-year-old,The eighteen-year-old was finally old enough to vote in the election.
de,acoliet,The acolyte,The acolyte assisted the priest during the religious service.
de,acquisiteur,The sales representative,The sales representative visited the company to pitch the new product.
de,acquisitie,The acquisition,The acquisition of the new firm will expand our market share.
het,acquit,The break,The player made a powerful break at the start of the snooker match.
de,acrobaat,The acrobat,The acrobat performed an amazing somersault high above the crowd.
de,acrobate,The acrobat,The female acrobat showed great flexibility during her performance.
de,acrobatiek,The acrobatics,The circus show featured a stunning display of acrobatics.
het,acroniem,The acronym,NASA is a well-known acronym for the American space agency.
het,acrostichon,The acrostic,The poet wrote a clever acrostic where the first letters formed a name.
de,acteur,The actor,The famous actor signed autographs for his fans after the play.
de,actiefilm,The action movie,The action movie was full of car chases and explosions.
de,actiegroep,The action group,The local action group protested against the closure of the library.
de,actiekomedie,The action comedy,The new movie is a hilarious action comedy about two detectives.
de,actielijst,The action list,The manager went through the action list during the team meeting.
het,actiemodel,The special edition model,The special edition model comes with a number of extra features.
het,actieplan,The action plan,The committee developed a detailed action plan to tackle the problem.
de,actieprijs,The promotional price,The promotional price is only valid for a limited time.
het,actiepunt,The action point,Improving communication was the main action point from the meeting.
de,actie,The action,The director shouted action and the actors began the scene.
de,actieserie,The action series,The action series has become a massive hit on television.
de,actiethriller,The action thriller,The action thriller kept the audience on the edge of their seats.
de,actieve,The active person,The active person enjoys spending time outdoors and exercising.
de,actievoerder,The protester,The protester held a sign and shouted slogans outside the building.
de,actionist,The activist,The environmental activist is campaigning for cleaner oceans.
de,activist,The activist,The social activist dedicated her life to fighting for equality.
de,activiteit,The activity,Swimming is a great physical activity for people of all ages.
de,actor,The actor,The young actor was nervous before his first big audition.
de,actrice,The actress,The actress won an award for her performance in the drama.
de,act,The act,The circus act featured trained lions and a brave tamer.
de,actualisering,The update,The software update fixed a number of small bugs.
de,actualiteit,The current event,The news program covers the most important current event of the day.
de,actuaris,The actuary,The actuary calculated the risks for the new insurance policy.
de,acupuncturist,The acupuncturist,The acupuncturist inserted thin needles into specific points on the body.
het,adagium,The adage,The old adage says that honesty is always the best policy.
de,adamsappel,The Adam's apple,The Adam's apple is usually more prominent in men than in women.
de,adaptatie,The adaptation,The movie is a faithful adaptation of the original novel.
de,adapter,The adapter,I need a travel adapter to plug in my laptop in the UK.
de,addax,The addax,The addax is a type of antelope that lives in the Sahara desert.
het,addendum,The addendum,The author included an addendum with the latest research findings.
de,adder,The adder,The adder is the only venomous snake found in the Netherlands.
de,addict,The addict,The drug addict sought help at a local rehabilitation center.
de,additie,The addition,The addition of a new wing to the house was completed last year.
het,additief,The additive,The food industry often uses a chemical additive to preserve products.
de,adelaar,The eagle,The eagle soared high above the mountains in search of prey.
de,adelborst,The midshipman,The midshipman began his training at the naval college.
de,ademhaling,The breathing,The doctor listened to the patient's breathing with a stethoscope.
de,ademwortel,The respiratory root,The mangrove tree has a specialized respiratory root to survive in water.
de,adept,The adept,The young adept learned the secrets of the ancient craft.
de,ader,The vein,The nurse searched for a suitable vein to take a blood sample.
de,aderlating,The bloodletting,Bloodletting was a common medical practice in the Middle Ages.
het,adjectief,The adjective,The adjective describes a quality of the noun.
de,adjudant,The adjutant,The general was accompanied by his loyal adjutant.
de,adjunct,The deputy,The deputy manager is in charge when the manager is away.
de,administrateur,The administrator,The administrator is responsible for the daily operations of the office.
de,administratie,The administration,The administration of the school is located on the first floor.
de,administrator,The administrator,The system administrator reset the user's password.
de,administratrice,The administrator,The female administrator managed the accounts of the small company.
de,admiraal,The admiral,The admiral commanded the entire fleet during the naval battle.
de,admiraalvlinder,The red admiral,The red admiral is a beautiful butterfly with striking black and red wings.
de,adolescent,The adolescent,The adolescent is going through many physical and emotional changes.
de,adonis,The Adonis,The young man was considered a real Adonis because of his good looks.
het,adoptiefkind,The adopted child,The adopted child was warmly welcomed into his new family.
de,adoptieouder,The adoptive parent,The adoptive parent provided a loving home for the young girl.
de,adoptie,The adoption,The legal process of adoption can take several years to complete.
de,adoratie,The adoration,The fans looked at the pop star with pure adoration.
het,adresbestand,The address file,The company updated its address file for the marketing campaign.
het,adresboek,The address book,I looked up his phone number in my old address book.
de,adressant,The sender,The name of the sender was written clearly on the envelope.
het,adres,The address,Please send the letter to the address listed on our website.
de,adressering,The addressing,The incorrect addressing of the package led to a delay in delivery.
de,adreswijziging,The change of address,You should notify the bank of your change of address immediately.
de,adult,The adult,The movie is intended for a mature adult audience only.
de,adventskaars,The Advent candle,We light a new Advent candle every Sunday in December.
de,adventskalender,The Advent calendar,The children were excited to open a door of their Advent calendar.
de,adventskrans,The Advent wreath,The Advent wreath was decorated with four red candles.
de,adventszondag,The Advent Sunday,The choir sang traditional carols on the first Advent Sunday.
het,adverbium,The adverb,The adverb provides more information about the verb.
de,adverteerder,The advertiser,The advertiser placed a full-page ad in the daily newspaper.
de,advertentie,The advertisement,I saw an advertisement for a new job in the local paper.
het,advertorial,The advertorial,The magazine included an advertorial about the new skincare range.
de,adviesaanvraag,The request for advice,The board submitted a request for advice to the legal department.
het,adviesbureau,The consultancy firm,The consultancy firm was hired to improve the company's strategy.
het,adviescollege,The advisory board,The advisory board provides expert guidance to the government.
de,adviescommissie,The advisory committee,The advisory committee recommended a change in the law.
het,adviesorgaan,The advisory body,The advisory body consists of experts from various fields.
de,adviesprijs,The recommended price,The recommended price of the product is fifty euros.
de,adviesraad,The advisory council,The student advisory council meets once a month with the dean.
het,adviesrapport,The advisory report,The consultant presented a detailed advisory report to the board.
het,advies,The advice,I decided to follow the doctor's advice and get more rest.
de,adviseur,The advisor,The financial advisor helped the couple plan for their retirement.
de,adviseuse,The advisor,The female advisor provided expert guidance on the project.
de,advocaat,The lawyer,The lawyer defended his client in court during the trial.
de,advocates,The lawyer,The female lawyer specialized in international business law.
de,aeronaut,The aeronaut,The aeronaut successfully piloted the hot air balloon across the sea.
de,aerosol,The aerosol,The scientist studied the impact of aerosol on the atmosphere.
de,afbakening,The demarcation,The demarcation of the border was a sensitive political issue.
de,afbeelding,The image,The image on the screen was clear and high resolution.
de,afbetaling,The installment,You can pay for the furniture in ten monthly installment.
de,afboeking,The write-off,The bank had to record a significant write-off for the bad debt.
de,afbreking,The interruption,The frequent interruption of the power supply was very frustrating.
het,afdak,The lean-to,We built a simple lean-to to protect the wood from the rain.
de,afdaling,The descent,The descent from the mountain peak took several hours.
het,afdankertje,The hand-me-down,The younger brother often had to wear a hand-me-down from his sibling.
de,afdekking,The cover,The pool was protected by a thick blue plastic cover.
de,afdeling,The department,He works in the marketing department of a large company.
de,afdelingschef,The department head,The department head is responsible for the team's performance.
de,afdichting,The seal,The rubber seal on the door prevents water from leaking in.
de,afdracht,The payment,The mandatory payment of taxes is essential for the government.
de,afdroogdoek,The tea towel,She used a tea towel to dry the dishes after dinner.
de,afdruk,The print,The artist signed each limited edition print of the photograph.
de,afdwaling,The digression,The speaker made a brief digression to tell a personal story.
de,affaire,The affair,The scandal surrounding the secret affair was all over the news.
de,affectatie,The affectation,His posh accent was clearly just a silly affectation.
het,affect,The affect,The patient showed a very flat affect during the interview.
de,affectie,The affection,She felt a deep affection for her old childhood friend.
het,affiche,The poster,The colorful poster announced the upcoming music festival.
de,affiliatie,The affiliation,The scientist has a strong affiliation with the local university.
de,affiniteit,The affinity,She has a natural affinity for working with young children.
het,affix,The affix,The prefix un- is a common affix used to negate a word.
het,affront,The affront,His rude behavior was a personal affront to the host.
het,affuit,The gun carriage,The ancient cannon was mounted on a heavy wooden gun carriage.
de,afgelasting,The cancellation,The cancellation of the match was due to the heavy rain.
de,afgeleide,The derivative,The mathematician calculated the derivative of the complex function.
de,afgestudeerde,The graduate,The graduate is looking for his first job in the industry.
de,afgevaardigde,The delegate,The delegate represented his country at the international summit.
de,afgezant,The envoy,The special envoy was sent to negotiate a peace treaty.
de,afghaan,The Afghan,The Afghan is a beautiful dog breed with long silky hair.
de,afgifte,The issuance,The issuance of the new passport took about two weeks.
de,afgrond,The abyss,The hiker looked down into the deep abyss with a sense of awe.
de,afhaling,The collection,The collection of the package can be done at the local post office.
de,afhandeling,The processing,The processing of the application will take several days.
de,afhankelijkheid,The dependency,The country is trying to reduce its dependency on fossil fuels.
het,afkappingsteken,The apostrophe,The apostrophe is used to indicate possession or a contraction.
de,afkeuring,The disapproval,Her father showed his clear disapproval of her new boyfriend.
het,afkickcentrum,The rehab center,The addict spent three months in a rehab center to get clean.
de,afkorting,The abbreviation,Dr. is a common abbreviation for the word Doctor.
het,afkortingsteken,The abbreviation mark,The abbreviation mark indicates that a word has been shortened.
de,afleiding,The distraction,The loud music was a constant distraction while I was studying.
de,aflevering,The episode,I can't wait to see the next episode of my favorite series.
de,aflossing,The repayment,The monthly repayment of the loan is automatically deducted.
de,afmelding,The cancellation,Please send a cancellation if you are unable to attend the meeting.
de,afmeting,The dimension,Please provide the exact dimension of the room for the new carpet.
de,afname,The decrease,There has been a significant decrease in the number of crimes.
de,afnemer,The customer,The company is looking for a new customer for its products.
het,aforisme,The aphorism,The book is a collection of witty aphorism about life.
de,afrastering,The fence,The sheep were kept inside the field by a wooden fence.
de,afreis,The departure,The departure of the flight was delayed by two hours.
de,afrekening,The settlement,The final settlement of the bill was done at the end of the month.
de,afrikaan,The African,The African elephant is the largest land animal in the world.
de,afrit,The exit,Take the second exit after the bridge to reach the city center.
het,afrodisiacum,The aphrodisiac,Oysters are often considered to be a natural aphrodisiac.
het,afrokapsel,The afro,The musician was known for his iconic and large afro.
de,afronding,The completion,The completion of the project is scheduled for next month.
de,afschaffing,The abolition,The abolition of slavery was a major turning point in history.
de,afscheiding,The separation,The glass wall provides a clear separation between the two offices.
de,afscheidsbrief,The farewell letter,He left a short farewell letter on the table before he left.
het,afscheidscadeau,The farewell gift,The colleagues gave her a beautiful watch as a farewell gift.
de,afscheidsreceptie,The farewell reception,We held a farewell reception for the retiring manager.
het,afschrift,The transcript,The student requested an official transcript of his grades.
de,afschrijving,The depreciation,The depreciation of the car's value is quite high in the first year.
de,afslag,The exit,Take the next exit on the right to get to the airport.
de,afsluitdijk,The enclosure dam,The enclosure dam protects the land from the sea.
de,afsluiter,The valve,The plumber turned off the main valve to stop the leak.
de,afsluiting,The closure,The closure of the road was due to the heavy snowfall.
de,afspiegeling,The reflection,The council is a fair reflection of the local community.
de,afspraak,The appointment,I have an appointment with the dentist at three o'clock.
de,afstand,The distance,The distance between the two cities is about fifty kilometers.
de,afstandsbediening,The remote control,I can't find the remote control for the television.
het,afstandsschot,The long-range shot,The player scored a spectacular goal with a long-range shot.
de,afstemming,The coordination,The coordination between the different departments is essential.
de,afstudeerder,The graduate,The graduate is currently writing his final thesis.
de,afstudeeropdracht,The graduation project,The student completed his graduation project with great success.
de,afstudeerproject,The graduation project,The graduation project involved designing a new bridge.
de,afstudeerscriptie,The graduation thesis,She spent months researching for her graduation thesis.
de,aftelling,The countdown,The crowd joined in the countdown for the new year.
de,aft,The mouth ulcer,A mouth ulcer can be quite painful when eating or drinking.
de,aftersales,The after-sales service,The company is known for its excellent after-sales service.
de,aftersun,The after-sun lotion,I applied some after-sun lotion after spending all day on the beach.
de,aftiteling,The credits,The names of the actors are listed in the final credits.
de,aftrap,The kick-off,The kick-off of the match is at precisely eight o'clock.
de,aftrek,The deduction,The tax deduction helped reduce his overall tax bill.
de,aftrekker,The subtractor,The child used a simple subtractor to solve the math problem.
de,aftroggelaar,The swindler,The swindler tricked the old lady out of her savings.
de,afvaardiging,The delegation,A small delegation was sent to the international conference.
de,afvaart,The departure,The departure of the ferry is scheduled for noon.
de,afvalbak,The trash can,Please throw your rubbish into the green trash can.
de,afvalstof,The waste product,The factory has a system to filter out every toxic waste product.
de,afvloeiing,The redundancy,The company announced a new round of redundancy due to the crisis.
de,afvloeiingsregeling,The redundancy scheme,The union negotiated a fair redundancy scheme for the workers.
de,afvoerbuis,The drainpipe,The drainpipe was blocked with dead leaves after the storm.
de,afvoer,The drain,The water in the sink is not flowing down the drain.
de,afwaskwast,The dish brush,She used a dish brush to scrub the dirty pans.
de,afwasmachine,The dishwasher,We decided to buy a new dishwasher to save time.
het,afwasmiddel,The dish soap,I need to buy some more dish soap for the kitchen.
de,afwas,The dishes,It's your turn to do the dishes after dinner tonight.
de,afwasser,The dishwasher,The young man worked as a dishwasher in a local restaurant.
het,afweersysteem,The immune system,A healthy diet can help strengthen your immune system.
de,afweging,The consideration,The board made a careful consideration of all the available options.
de,afwerking,The finish,The wooden table has a beautiful smooth finish.
het,afwerkingsniveau,The level of finish,The level of finish in the new apartment is very high.
de,afwezigheid,The absence,His absence from the meeting was noted by everyone.
de,afwezigheidslijst,The absence list,The manager checked the absence list to see who was missing.
de,afwijking,The deviation,The slight deviation from the plan was not a problem.
de,afwijzing,The rejection,He received a polite rejection letter after his job interview.
de,afwikkeling,The settlement,The settlement of the insurance claim took several weeks.
de,afwisseling,The variety,I enjoy the variety of tasks in my new job.
de,afzegging,The cancellation,There was a last-minute cancellation for the dental appointment.
de,afzender,The sender,The name and address of the sender were on the back of the envelope.
de,afzetmarkt,The market,The company is looking for a new market for its luxury goods.
de,afzetter,The swindler,The swindler sold the fake painting for a huge amount of money.
de,afzetting,The deposition,The deposition of the witness was recorded by the lawyer.
de,afzuigkap,The extractor hood,Turn on the extractor hood to get rid of the cooking smells.
de,agape,The agape,The early Christians shared a communal meal called an agape.
de,agaat,The agate,The agate is a beautiful semi-precious gemstone with colorful bands.
de,agave,The agave,The agave is a plant often used to make tequila.
de,agent,The agent,The secret agent was on a mission to recover the stolen files.
de,agente,The agent,The female agent worked undercover for the local police force.
het,agentschap,The agency,The travel agency helped us book our holiday to Italy.
de,agentuur,The agency,The insurance agency has an office in the city center.
de,agglomeratie,The agglomeration,The urban agglomeration has a population of over five million.
de,aggravaat,The aggravate,The aggravate of the symptoms led to a change in treatment.
het,aggregaat,The generator,The hospital has a backup generator in case of a power cut.
de,agitatie,The agitation,The agitation among the workers led to a strike.
de,agnost,The agnostic,The agnostic believes that the existence of God is unknown.
de,agrafe,The staple,The surgeon used a small metal staple to close the wound.
de,agrariër,The farmer,The local farmer grows organic vegetables for the market.
de,agressie,The aggression,The dog showed signs of aggression towards the stranger.
de,agressor,The aggressor,The country was identified as the aggressor in the conflict.
de,ahorn,The maple,The maple is a beautiful tree known for its colorful autumn leaves.
de,aidspatiënt,The AIDS patient,The organization provides support for every local AIDS patient.
het,aidsvirus,The AIDS virus,The scientist is researching a new vaccine for the AIDS virus.
de,airbag,The airbag,The airbag deployed instantly during the car accident.
